Key,Description
com.bigbasket.mobileapp,"bigbasket: A TATA Enterprise

<b>Introducing bigbasket now: Get your groceries delivered in 10 minutes. Choose from 20000+ grocery essentials. Available only in select cities.</b>

bigbasket is India’s leading online grocery shopping app, trusted by 10 million+ happy customers and counting!

Install the bigbasket app now and get your groceries delivered in 300+ cities and towns across India. 

Shop from a vast range of 20,000+ products including farm-fresh fruits and vegetables, groceries, fish, chicken, meat, home & household essentials, pet care needs, organic products, beauty and hygiene, imported and gourmet & more at the best prices. Enjoy hassle-free online grocery shopping and home delivery at just a click of a button.

FEATURES AND SERVICES

What to expect from us?

* Wide range of products, including fresh fruits and vegetables: Choose from a vast collection of 20,000+ products across 1000+ national and international brands including Aashirvaad, Amul, Bisleri, Cadbury, Complan, Fresho, Haldiram, Himalaya, Horlicks, Kellogg’s, Lays, Lizol, Nandini, Nescafe, Nivea, Nutella, Patanjali, Saffola, Sunpure, Surf Excel, Vim, Zespri to name a few. And yes, we have a full range of fresh fruits and vegetables, procured directly from farmers!

* Enjoy low prices and great offers: Buy at low prices with great offers including discounts, bundle pack offerings, promotions.

* Fast and Secure Checkout: Pay by UPI, net-banking, credit and debit cards options and e-wallets.

* Assured quality:  We source most of our fruits, vegetables and private label staples (bb Royal, bb Popular) directly from farmers. 

* Search in 7 languages: Our  app supports searching for items in seven regional languages. Search for “vendakkai” or “bhindi” or “ladies finger”, we’ll get it right automatically.

* Easy search options: Easily shop from your past purchases with the help of SmartBasket, else use our various search options: scan the bar code search, give voice commands, use filters on categories or brands.

FEEDBACK / APP SUGGESTIONS:
At bigbasket your shopping experience is our priority and we would love to know how we can improve our app as well as services. If you have any suggestions to improve our app, please mail us at productteam@bigbasket.com. For any inputs on our service we are at customerservice@bigbasket.com, https://www.facebook.com/Bigbasketcom or 18601231000."
co.lynde.xseag,"Are you preparing for competitive exams like TSPSC G1 Prelims & Mains Em & Tm, or APPSC / TSPSC Test Series? Look no further than Laqshya On! Our experienced teachers provide personalized attention and a comprehensive curriculum to help you succeed in these competitive exams."
com.zeptoconsumerapp,"With 7000+ products in 20+ categories, from fruits & vegetables to gadgets, makeup must-haves, and more, all delivered to you in just 10 minutes*– we’re the only grocery delivery app you need.

*Terms and Conditions apply

INTRODUCING: ZEPTO PASS
We're here to make you feel special: Get 20% off* on every order & unlimited free delivery on orders over ₹99.

Earlier, when you wanted to buy groceries it meant rushing from work, queuing up for payments, spending hours finding those fresh groceries, and getting home exhausted. Or, you would buy groceries online and wait for days to enjoy the perks of doorstep delivery.

We don’t do that here. We’re not going to brag, but we’re one of the best grocery shopping apps you’ll come across. Why? You get those endless hours back, to live your life to the fullest.

How did we create this fast grocery delivery app:

You place an order. Our online delivery wizards pick it up. Our pickers & packers at the dark store are notified. They maneuver stacked aisles to collect the groceries you placed in your order. Meanwhile, a delivery partner gets assigned. Lots happening? We're only 1 minute in, at this point. The packer hands over the order to the delivery partner, who drives at an average speed of 20km/hr to safely deliver groceries to your doorstep. 

You woke up and ran out of your much-loved Nescafe Classic or the creamy Country Delight? No sweat, just browse the wide range of flavourful brews from Sleepy Owl to Society Tea. We’re the beverages and milk delivery app you’ve been waiting for. 

For those rushed mornings, we get you ready in a jiffy. Get everything from Dove soaps and Pears body washes to Mamaearth shampoos and L’oreal Paris conditioners. 

Before you step out for work, fuel up with tasty breakfast mixes, all the cereals you love, and the classic bread and butter duo or poha. Sort out lunch with hot and delicious savouries from Zepto Cafe. 

Night’s still young? Catch up on chores with cleaning essentials delivered to you in 10 minutes, or set the stage for a party at home.

When you have Zepto’s quick grocery delivery app, you’re never far from what you need at any time of the day. From laundry care to last-minute party planning. Sit tight, and think beyond same day delivery -  it’s 10-minute delivery. You get it before you get late for anything. 

You can’t imagine a day without Zepto, can you? 

Does doubt haunt you when you shop for groceries online, especially when you buy vegetables online? That’s why quality assurance is on our radar 24x7 - for our bounty of fresh fruits and vegetables. Plus, over 200 types of meat and seafood are taken seriously. We source directly from farmers and assure the best quality so that you receive fresh grocery. 

Beyond the ease of home grocery delivery, you can save up too. Enjoy up to 15% off on groceries and more. Experience Bumrah speed and get 7000+ items in 10 minutes. Make the most of exclusive offers from ICICI Bank, HDFC Bank, and more.

As the preferred grocery delivery app all over India, Zepto is buzzing around Mumbai, Pune, Delhi, Noida, Gurugram, Ghaziabad, Kolkata, Hyderabad, Chennai & Bengaluru with quick grocery delivery. If we’re not in your city, we’ll see you soon. We’re available in English across these cities.

Explore Super Savings Days every month along with Mid-Month Mania to get bigger discounts on your favourite grocery shopping app. You’re in for a treat when you shop grocery online with Zepto. Get deals on kitchen staples like atta, daal, and rice, or deck up your home with enticing home furnishings. From electrical essentials to personal care superstars, they’re all yours.

Even though we know you’ll get a smooth delivery and experience, our customer care is here for you. We’re active on Instagram, LinkedIn, Twitter, YT, while we constantly respond to you via . The only thing competing with our delivery time is our customer care. Just reach out to us and we are here to help you!"
ahaflix.tv,"Are you looking for a one-stop content platform to binge on the latest Tamil and Telugu movies, web series, shows and more? aha has got you covered.

aha is a leading over-the-top (OTT) platform that gives you a 100% local experience as you watch movies online and binge on viral Telugu web series and Tamil content.

Catch the latest action from your favorite stars such as Balakrishna, Prabhas, Pawan Kalyan, Mahesh Babu, Allu Arjun, Samantha Ruth Prabhu, Pooja Hegde, Vishwak Sen etc from Telugu and Vijay, Ajith, Sivakarthikeyan, Dhanush, Surya, Vijay Sethupathi, Nayanthara, Keerthy Suresh, Trisha, etc.

With content curated especially for audiences with varied preferences, we bring to you a wide range of online movies, Telugu web series, Tamil web series, and much more.

Watch free Tamil and Telugu movies and get the big screen experience within the comfort of your home!

Perks of installing and subscribing to aha:

• Aha Gold with4K Ultra HD + Dolby AUdio, Offers, 24-hrs early access to premium content

Access to new Telugu movies
• Access to new Tamil movies

• Video playback

• aha Kids

• A broad spectrum of Telugu movies from different genres at your fingertips

• A broad spectrum of Tamil movies from different genres at your fingertips

• Watch movies online over 3G, 4G, and WiFi

• Enjoy aha quick bits that provide a quick overview of new movies and TV shows

• Monthly original releases

• Enjoy aha on multiple devices

• Watch offline


aha Originals (Telugu)

Enjoy a full suite of fresh, entertaining, and exclusive Tamil and Telugu movies and TV shows only on aha!

From the latest Tamil and Telugu comedy movies to the most nerve-wracking thrillers, catch everything on aha. Subscribe to aha today!


Latest on aha (Telugu)
Unstoppable
Telugu Indian Idol
Premalu
Sarkaar
Bhamakalapam
My Dear Donga
DJ Tillu
Love Story
Polimera 2
Masooda

Latest on aha (Tamil):

Romeo 
Vadakkupatti Ramasamy
Ranam Aram Thavarel
Vera Maari office 
Road
Aneethi
Sevappi
Harkara
Vera Maari Love Story
Emoji
Akash Vaani

Terms of Use:
https://www.aha.video/tc


Privacy Policy:
https://www.aha.video/privacy-policy"
com.mxtech.videoplayer.ad,"Powerful video and music player with advanced hardware acceleration and subtitle supports

<b>a) HARDWARE ACCELERATION</b> - Hardware acceleration can be applied to more videos with the help of new HW+ decoder.

<b>b) MULTI-CORE DECODING</b> - MX Player is the first Android video player which supports multi-core decoding. Test results proved that multi-core device's performance is up to 70% better than single-core devices.

<b>c) PINCH TO ZOOM, ZOOM AND PAN</b> - Easily zoom in and out by pinching and swiping across the screen. Zoom and Pan are also available by option.

<b>d) SUBTITLE GESTURES</b> - Scroll forward/backward to move to next/previous text, Up/down to move text up and down, Zoom in/out to change text size.

<b>e) Privacy Folder</b> - Hide your secret videos to your private folder and protect your privacy.

<b>f) KIDS LOCK</b> - Keep your kids entertained without having to worry that they can make calls or touch other apps.

<b>Subtitle formats:</b>

- DVD, DVB, SSA/*ASS* subtitle tracks.
- SubStation Alpha(.ssa/.*ass*) with full styling.
- SAMI(.smi) with Ruby tag support.
- SubRip(.srt)
- MicroDVD(.sub)
- VobSub(.sub/.idx)
- SubViewer2.0(.sub)
- MPL2(.mpl)
- TMPlayer(.txt)
- Teletext
- PJS(.pjs)
- WebVTT(.vtt)

******
Permission Details:
–––––––––––––––––––
* ""READ_EXTERNAL_STORAGE"" is required to read your media files in your primary & secondary storages.
* ""WRITE_EXTERNAL_STORAGE"" is required to rename or delete files and to store the downloaded subtitles.
* ""LOCATION"" permission is required to help find nearby friends.
* ""NETWORK"" and ""WIFI"" permissions are required to get the network status which is required for various activities like license checking, update checking etc. 
* ""BLUETOOTH"" permission is required in order to improve AV sync when the Bluetooth headset is connected.
* ""CAMERA"" permission is required to scan QR code.
* ""INTERNET"" is required to play internet streams.
* ""VIBRATE"" is required to control the vibration feedback.
* ""WAKE_LOCK"" is required to prevent your phone from sleeping while watching any video.
* ""KILL_BACKGROUND_PROCESSES"" is required to stop the MX Player services used in background play.
* ""DISABLE_KEYGUARD"" is required to temporarily prevent secure screen lock when Kids Lock is used.
* ""SYSTEM_ALERT_WINDOW"" is required to block some keys when Kids Lock is used.
* ""DRAW OVER OTHER APPS"" is required to block system buttons when input blocking is activated on the playback screen.

******
If you are facing ""package file is invalid"" error, please install it again from product home page (https://mx.j2inter.com/download)
******

If you have any questions, please visit our Facebook Page or XDA MX Player forum.
<b>https://www.facebook.com/MXPlayer</b>
<b>http://forum.xda-developers.com/apps/mx-player</b>

Some of the screens are from the Elephants Dreams licensed under the Creative Commons Attribution 2.5.
(c) copyright 2006, Blender Foundation / Netherlands Media Art Institute / www.elephantsdream.org

Some of the screens are from the Big Buck Bunny licensed under the Creative Commons Attribution 3.0 Unported.
(c) copyright 2008, Blender Foundation / www.bigbuckbunny.org"
com.twitter.android,"The X app is the trusted global digital town square for everyone.

With X, you can:

- Post content for the world to see and join public conversations
- Stay up to date on breaking news and follow your interests
- Stay better informed with extra context from Community Notes
- Go live with Spaces for audio or stream live video
- Communicate privately with Direct Messages
- Subscribe to X Premium to expand your reach, get a blue checkmark, and more
- Earn a living creating exclusive content for your paid subscribers and share in the ad revenue generated in replies to your posts
- Create and join Communities around topics and interests, from sports to music to technology
- Upload and watch videos up to 3 hours in length
- Write and read long form posts like essays and blogs
- Connect directly with your customers to help your business grow"
com.csam.icici.bank.imobile,"iMobile is ICICI Bank’s official Mobile Banking app that offers 400+ banking services.

It is accessible to both ICICI Bank customers & non-ICICI Bank customers for availing Loans, managing Savings Accounts, transferring funds, managing Cards, and investments. iMobile Pay brings the power of Net Banking to your fingertips!

iMobile offers: 

📍Instant Loans such as Personal Loans, Home Loans, Car Loans and more 
📍Online Digital Savings Account
📍Apply for Credit Cards
📍Open Fixed Deposits(FDs), Recurring Deposits (RDs) or iWish Deposits
📍Scan QR Codes for easy UPI Payments 
📍Hassle- free utility & electricity bill payments
📍Instant online mobile recharge, DTH service, and FASTag recharge.
📍Flight, train, and hotels bookings

With iMobile Pay, you can enjoy the following benefits:

✔ Pre-approved RuPay credit cards:

RuPay Credit Card provide instant access to RuPay benefits, allowing seamless payments and UPI transactions.

✔ Manage multiple cards: 

Through iMobile Pay, you can manage multiple Cards such as Debit cards, Credit Cards, and Forex Cards. You can also pay Credit Card bills for other banks, by scheduling reminders for due dates.

✔ Investment made simple:

iMobile Pay offers a hassle-free solution for investing and stock marketing. You can also invest in various Mutual Fund schemes, without opening a Demat Account.

✔ iScore & Discover: 

Use the 'Discover' feature on iMobile Pay to review your income and expenses. The 'Budget' feature helps you create and manage a budget, allowing you to practice financial discipline.

✔ iFinance: All your bank accounts at one place:

With iFinance, experience a new and innovative way to view all your Bank Accounts in one place. Review your income and expenses, easily.

✔ Unlock your rewards & personalized offers:

Earn Reward Points and avail of exclusive offers by conducting transactions or paying utility bills through your Credit Card.

✔ Customized notification: 

Get updates regarding your bills, Cards, Loans, Bank Accounts and more.

✔ SmartLock: 

Control access to banking services such as Net Banking, UPI, and Credit and Debit Cards in one swipe.

✔ Global UPI: 

NRI customers can conduct UPI payments with their international mobile number.

✔ Chatbot assistance: 

Enjoy 24x7 chatbot assistance with iPal.

Personal Loan highlights:
 
● Loan Amount: Min (₹25,000/-) to Max (as per the eligibility)*.
● Repayment Tenure: 12 months to 72 months*. 
● Rate of Interest starting from 10.80% p.a.p.m*
● Processing Fees starting from Rs. 3,999*

For Example: For an amount of ₹5 Lakh borrowed at an Interest Rate of 11.00% for 60 months, the payable amount would be : ₹10,817 p.m.

The total amount to be repaid after 5 years will be ₹ 6,52,273/- out of which the interest amount would be ₹1,52,273/-

*Note: Terms and Conditions apply.                                                                                  

Other offerings by ICICI’s iMobile Pay: Forex Prepaid Cards, Companion Cards, SIPs, IPO Applications, Tap to Pay, Scan to Pay, Pay to Contact, PPF(Public Provident Fund), NPS(National Pension System), Gold Loan, Sovereign Gold Bonds, Term Life Insurance, Cancer Cover, Health/Travel/Motor Cover, 24 hours Top Up, PayLater.

Pre-approved Loans: Home Loan Balance Transfer, Education Loan, Loan against Property, Commercial Property Loan, Consumer EMI, Consumer EMI, Home Loan Overdraft, Insta FlexiCash Loan, Personal Loan on Credit Card.

For any feedback, queries or issues pertaining to iMobile Pay App, please write to imobileapps@icicibank.com"
com.bitla.mba.kkaveritravels,"K Kaveri Travels is a renowned brand in the bus operating industry. Our vision is to give a new face to the bus industry. Since our inception passenger comfort was our top priority. We have frequently added luxury buses to our huge fleet of buses. The only thing we focus on is that the comfort quotient of our passengers should never be compromised. We have always tried our best to push our limits in order to develop our travel experience. Read further to understand what we offer that enhances our reputation in the market.

Live Bus Tracking  
We have integrated this great technology of live bus tracking in almost all of our buses. This helps the passengers to be informed about the live position of the bus, thus helping them in planning their commute to the bus stand. It also prevents the unwanted stress of missing or waiting for the bus in case of delays.

Our Customer Support  
To render the best service we strive to provide the best customer support. We have an attentive customer support team to which the passengers can report any issues regarding the journey. This team addresses all the issues of the passengers and comes out with a solution in the shortest possible time. This creates a warm feeling in the customers thus pushing them to be our regular customers.

Great Comfort  
Now, once a passenger boards the bus he will be surprised by the inner comfort of the bus. The buses have all the latest amenities like WiFi, charging point, water bottle and central TV. The seats are really very comfortable and create a feeling of a cosy bedroom. We have almost all the luxury brand buses in our fleet. Our luxurious fleet includes Mercedes Benz Multi-axle buses, Volvo Multi-axle buses, and Scania Multi-axle comfort buses. These buses help in smoothening the journey. Our motto to change the perception of bus travel makes us enhance our luxury levels regularly.

Safety  
Safety is one of the most important criteria we look for while planning a bus route. We have the best drivers who completely understand the importance of safety and follow all the safety rules.

Regular Offers  
We at K Kaveri Travels strive to maintain the most reasonable rates in the market. This also makes our passengers happy and thus we further give them discount offers on a regular basis to enhance their happiness."
com.dreamplug.androidapp,"CRED is a members-only app for all payment experiences.
Trusted by over 25 million+ creditworthy members, CRED rewards you for the payments & good financial decisions you make.

What payments can you make on CRED?

✔️ Pay credit card bills: Check credit information & manage credit cards without downloading multiple credit card apps.
✔️ Online payments: Pay via UPI or credit card when you checkout from brands like Swiggy & Myntra via CRED pay.
✔️ Offline payments: Scan QR codes & pay merchants; activate Tap to Pay for contactless payments.
✔️ Send money to anyone: Use CRED UPI to pay phone numbers or UPI IDs.
✔️ Transfer money to bank: Send rent or education fees from your credit card.
✔️ Pay bills: Pay utility bills, credit card bills, DTH bills, mobile recharge, house/office rent, and more. Get payment reminders so you never miss a due.

What else can you do with a CRED membership?

→ Manage credit cards: Add and manage multiple credit cards on CRED
→ Check bank balance & credit score: Track your credit score report
→ View hidden charges: Automatically detect hidden charges on your credit cards & get alerted on duplicate transactions
→ Get smart statements: Keep track of how you use your credit card with smart statements
→ Earn rewards: Unlock exclusive perks & privileges, just for being a CRED member

Upgrade your lifestyle with CRED:

→ Curated shopping experience on CRED store
→ Curated stays & holiday packages on CRED escapes at special prices
→ Manage vehicles’ insurance, FASTag, PUCC, and more on CRED garage
→ Get pre-approved personal loans on CRED cash

Bills you can pay using credit card or UPI:

Rent: Pay your house rent, maintenance, office rental, security deposit, brokerage, etc.
Education: College fees, school fees, tuition fees, etc.
Telecom Bills: Recharge your Airtel, Vodafone, Vi, Jio, Tata Sky, DishTV, prepaid or postpaid connections, broadband, landline, cable TV, etc.
Utility Bills: Electricity bills, LPG cylinder, piped gas, water bill, municipal tax, etc.
Other Bills: Fastag recharge, insurance premium, loan repayment, etc.

How to be a CRED member?
→ CRED is built to reward creditworthy individuals. To become a CRED member, you need a credit score of 750+.
→ The process is simple → Download CRED → Fill your name, mobile number & email ID → Get a free credit score report
→ If your credit score is 750+, you will get a prompt to verify credit card details
→ Enjoy the privileges of being a CRED member

What is Credit Score?
→ Check your credit score on CRED, no matter what credit card you have
→ Each credit score has a different scale
→ A score of 700+ on CRIF & Experian is considered to be good
→ A higher credit score is an indicator of good financial behavior

Credit scores shown on CRED:
There are 4 credit bureaus in India - Experian, Equifax, CRIF & CIBIL. CRED can showcase your CRIF, Experian & Equifax credit scores and helps track these credit scores individually.

Can CRED help in improving credit score?
With CRED make bill payments on time which will help improve your credit score over time.

Credit Cards supported on CRED:
HDFC Bank, SBI, Axis Bank, ICICI Bank, RBL Bank, Kotak Mahindra Bank, IndusInd Bank, IDFC First Bank, YES Bank, Bank of Baroda, AU SMALL FINANCE BANK, Federal Bank, Citi Bank, Standard Chartered Bank, SBM BANK INDIA LIMITED, DBS Bank, South Indian Bank, AMEX, HSBC Bank, all VISA, Mastercard, Rupay, Diners club, AMEX, Discover credit cards.

Lending partners on CRED:
IDFC First Bank Limited, Crédit Saison - Kisetsu Saison Finance (India) Private Limited, Liquiloans - NDX P2P Private Limited, Vivriti Capital Pvt Ltd, DBS Bank India Limited, Newtap Finance Pvt. Ltd.

Contact us
Have things on your mind? Don’t keep it to yourself. Contact us at feedback@cred.club.

Pay anyone via UPI, clear all your bills, improve your credit score & earn rewards with CRED. Download Now."
com.microsoft.office.word,"The document editor that you can take with you on the go – Microsoft Word.

Write and create documents on your mobile device much like you do on your PC. Edit docs, share notes, convert to PDF documents, craft a powerful cover letter, and collaborate on projects using your mobile device.

Documents are easy to create, read, edit and share with Microsoft Word. Simplify on-the-go document collaboration and editing with our easy-to-use Word app features. Convert to PDF from Word and vice versa. From doc editing to collaboration and beyond, Microsoft Word is one of the best free writing apps for writing on the go.

Access files, documents and make edits with ease using the Word app. Read documents and open attachments with built-in docs viewer. Edit a PDF using Word’s PDF converter feature easily. Share files, documents and notes in the format you’d like. Create documents on the go with Word’s expert editing tools anytime, anywhere.

Read, edit docs and create a document for any need. Resume templates, newsletters, brochures and more are accessible in the template gallery. Select the documents you would like and get started.

Blogger, writer, journalist, columnist or project manager: the Microsoft Word writing app moves with you.

Easy document editing, at your fingertips. Write a letter, create templates, read Word documents, edit docs and collaborate with your team anywhere! Get the docs and PDF app that can do it all.

Create Documents
• Use Microsoft Word as a cover letter creator by leveraging our beautiful templates
• Document editor keeps formats & layouts looking great.
• Docs app with templates for resumes, cover letters, forms & more.
• Documents are easily created for any writing task.
• Editing with rich formatting & layout.

Read, Write and Edit Documents
• Read docs, letters, PDFs & scripts on your device in Reading View.
• Document & PDF App: Edit documents from PDFs by converting to & from Word documents.
• PDF Converter: Save as PDF after editing & share the PDF easily.

Collaborate and Share With Anyone, Anywhere
• Document comments can be left right next to the text using Office Suite for seamless collaboration.
• View documents using the built-in docs viewer.
• Edit documents as a team and stay on top of changes to the text, layout & formatting.
• Edit docs and view editor history: easily revert to view earlier drafts when you need to.

Microsoft Word for Anything
• Documents for your needs: Letters, blogs, scripts, notes, resumes, & more can be created beautifully designed modern templates.
• Write a letter easily using Word’s templates.
• Share documents as a link, email or attachment.
• Proofread, check spelling & review any document.

File Sharing Simplified
• Share files & collaborate with a few taps.
• File & document permission management: see who is working on what.
• Copy files into the body of an email message with its format intact or attach PDFs & docs to the email.

Document, PDf and writing app free of restrictions, hassle and workarounds. Download Microsoft Word  to edit documents anywhere, seamlessly.

REQUIREMENTS
1 GB RAM or above

To create or edit documents, sign in with a free Microsoft account on devices with a screen size smaller than 10.1 inches."
com.cris.utsmobile,"UTS on mobile app is an Indian Railways official android mobile ticketing app to book unreserved train tickets. 
 
Who can use utsonmobile application? 
The service is not available to a person under the age of Seventeen or previously suspended or removed from the services by Indian Railway.  
 
By accepting the Terms & Conditions or by otherwise using the Service or the website, it would be deemed that the concerned person is at least Seventeen years of age and have not been previously suspended or removed from the Services by Indian Railway. The Person represents and warrants that he has the right, authority, and capacity to enter into this Agreement and to abide by all of the terms and conditions of this Agreement. The person shall not impersonate any other person or entity, or falsely state or otherwise misrepresent identity, age or affiliation with any other person or entity. 
 
Pre-requisites to avail the utsonmobile app service: 
Presently, utsonmobile app is available in Android, Windows & iOS versions.   
The Smartphone should have good GPRS connectivity.   
In order to avail paperless mode of tickets, the Smartphone should be GPS enabled. 
  
Registration Process: 
User Registration for availing the above services can be done through the utsonmobile app or the website (https://www.utsonmobile.indianrail.gov.in). 
The passenger needs to provide information like Mobile Number, Name, Password, Gender, Date of Birth for the one time registration process. 
The mobile application would send an OTP to the mobile number specified against the USER ID field to ensure the validity of the mobile number. After successful registration, an SMS will be sent informing the user about the successful registration. A zero-balance R-Wallet account would be activated. 
 
Login Process: 
After the registration, the passenger needs to enter the credentials in the login page for entering into the utsonmobile app.

Services offered by utsonmobile app: 
1. Book Ticket: 
    Normal Booking(Journey and Return tickets) 
    Quick Booking (Journey and Return tickets)  
    Platform Ticket  
    Season Ticket  
    QR Booking (Platform Tickets, Journey and Return Tickets)

2. Cancellation of Ticket :-
Paper Ticket with booking amount greater then cancellation charges can be cancelled using utsonmobile app before printing of ticket. Cancellation of Paperless Ticket is not allowed.

3. Booking History

4. R-Wallet:
R-Wallet Balance  
    Recharge R-Wallet 
    History  
    Surrender R-Wallet

5. Profile:
Change city  
    Change Frequent travel Route  
    Change Journey Details  
    Change Password  
    Change Handset Request  
    Change Personal Details  
    Sync Ticket

6. Show Booked Ticket:
Using 'show ticket' feature the ticket can be showed to the TTE(Travelling Ticket Examiner) or TC. Off-line mode is also available to show the paperless ticket if Internet connection not available in the mobile.

Note:- 
Paperless ticket booking(Book and Travel) is not allowed inside train or within station premises to avoid ticket booking just by seeing TTE(Travelling Ticket Examiner) or TC.
For booking of paperless ticket user should be away from Station premises/Railway track.

For Paper Ticket(Book and Print) mode of booking, It is mandatory to take printout of the ticket from ATVM/CoTVM kiosks or General Booking counters at station before boarding the Train."
net.one97.paytm,"Paytm (पेटीएम), India’s #1 Payment App, is trusted by more than 45 Crore Indians. Paytm is a one-stop solution for all your payment needs:

● Send money to your friends and family using your mobile number via Paytm UPI. Including those who are not on Paytm.
● Scan any QR code and make payments at grocery stores, petrol pumps, restaurants, etc.
● Recharge your mobile and pay your utility bills (electricity, gas, water, broadband, etc.).

<b>Your Paytm app is working and will keep working as usual beyond Mar 15th, 2024</b>

Q. Can I continue to make UPI Payments (Send or Receive Money or Scan QR Codes) on Paytm App?
A. Absolutely yes. You can continue to make UPI Payments, send or receive money through UPI, or make offline QR code payments as usual on Paytm App. For lightning fast payments always Paytm Karo!

Q. Can I continue to do recharges, pay my bills & more on Paytm?
A. Yes. You can continue to use Paytm app for all your recharges and bill payments, as usual.

Q. Can I continue to use Paytm for booking tickets (travel, movies, etc.)?
A. Absolutely! You can continue to use Paytm App for booking tickets (travel, movies, etc.), just as always!

Q. What happens to my Wallet and Transit Card, and how can I close it?
A. You can continue to use your existing balance for metro/bus travel as usual. To close your Wallet & Transit Card: Open the app, tap 'Wallet' > 'Manage' > Scroll down to 'Block Card' > Choose 'Permanent Block' & provide a reason.

Know the right facts and details here - https://paytm.com/important-updates 

<b>Safe, Reliable and Superfast UPI Payments</b>
● Enter your mobile number & transfer money to anyone using Paytm UPI.
● Check your bank account balance and view transaction history on Paytm. 
● Your UPI ID is a unique ID used to make payments using the Unified Payment Interface (UPI).
● Set your UPI PIN (a 4 or 6-digit number). It’s mandatory to set the PIN while creating UPI ID on the UPI app.
● Use UPI Lite for lightning-fast UPI Payments up to Rs 500, no PIN required.

<b>Fast, Secure & Contactless QR code Payments at Offline & Online Stores</b>

 <b>Easy Recharge and Utility Bill Payments</b>
● Recharge your mobile, DTH or pay electricity, broadband, water & other utility bills
● Find the latest prepaid recharge plans & mobile recharge offers on Jio recharge, Airtel recharge, Vodafone Idea (VI) recharge, MTNL & BSNL recharge
● Recharge any FASTag

<b> Find great deals on grocery, food and home decor items on Paytm ONDC app </b>

<b>Get Instant Personal Loans</b>
● Loan amount starting from 50K to 25 lac
● Repay loan within 6-60 months
● Annual percentage rate (per annum monthly reducing): 10.99%-35%
● Loan processing fee: 0-6%
Note: Personal Loans are only available to Indian citizens within the territory of India

Lending partners (NBFC):
● Hero Fincorp Ltd: https://www.herofincorp.com/partners
● Aditya Birla Finance Ltd: https://abfl.adityabirlacapital.com/Pages/Partner_details.aspx?lending_partner=PAYTM
● TATA Capital: https://www.tatacapital.com/personal-loan.html
● Poonawalla Fincorp: https://poonawallafincorp.com/personal-loan.php
● SMFG: https://www.smfgindiacredit.com

Example:
Loan amount: 100,000, Interest 23%, Processing fee 4.25%, Tenure 18
Loan processing fee: Rs.4250
Stamp duty charges: Applicable as per law
EMI per month: Rs.6621
Total interest: Rs.19178
Disbursal amount: Rs.94785
Amount payable: Rs.119186

<b>Book Tickets for Trains, Bus, & Flights</b>
● Paytm is an authorized IRCTC partner for Rail e-ticket booking, cancellation, PNR status & live train status
 
<b>Contact Us</b>
One 97 Communications Limited
One Skymark, Tower-D, Plot No. H-10B,Sector-98, Noida UP 201304 IN

*Paytm Money Ltd. is a wholly owned subsidiary of One97 Communication Ltd. (Paytm) and is registered with SEBI and PFRDA as Stock broker (INZ000240532) and e-pop (269042019) for NPS services"
com.microsoft.windowsintune.companyportal,"The Company Portal provides access to corporate apps and resources from almost any network. Your company must already subscribe to Microsoft Intune, and your IT admin must set up your account before you can use this app.

Features:
•	Enroll to access corporate resources
•	Browse and install company apps
•	View and manage all your enrolled devices
•	View IT department contact information
•	Change your work account password
•	Unenroll or remotely wipe devices

Important: This app requires you to use your work account to enroll in Intune. Some functionality is unavailable in certain countries. If you have issues with this app or questions about its use (including your company’s privacy policy) contact your IT administrator and not Microsoft, your network operator, or your device manufacturer.

https://docs.microsoft.com/Intune/EndUser/using-your-android-device-with-intune

How to uninstall Company Portal:
Before you can uninstall Company Portal, you need to unenroll your device from Intune first. Here are the steps:

1) Follow these directions to unenroll: https://docs.microsoft.com/intune/enduser/unenroll-your-device-from-intune-android
2) Now, you can uninstall Company Portal like you would any other app"
